Id,Beschreibung,Infinitiv,Beispielsatz,,Verben:,203,Karteikarten:,2233
641,zarabiać,verdienen,-,,,,,
645,mieć na myśli,meinen,-,,,,,
649,karmić,füttern,-,,,,,
653,prasować,bügeln,-,,,,,
657,zamiatać,fegen,-,,,,,
661,trenować,trainieren,-,,,,,
665,kłócić się,streiten,-,,,,,
669,flirtować,flirten,-,,,,,
673,zapraszać,einladen,-,,,,,
677,wybierać,wählen,-,,,,,
681,mieć nadzieję,hoffen,-,,,,,
685,obsługiwać (klientów),bedienen,-,,,,,
689,tankować,tanken,-,,,,,
693,podpisywać,unterschreiben,-,,,,,
697,używać,benutzen,-,,,,,
701,telefonować,telefonieren,-,,,,,
705,dziękować,danken,-,,,,,
709,świętować,feiern,-,,,,,
713,zapalać,anzünden,-,,,,,
717,robić zakupy,einkaufen,-,,,,,
721,rezerwować,reservieren,-,,,,,
725,planować,planen,-,,,,,
729,zatrzymywać,behalten,-,,,,,
733,cieszyć się,sich freuen,-,,,,,
737,opiekować się,sich kümmern,-,,,,,
741,wymieniać,tauschen,-,,,,,
745,denerwować się,sich ärgern,-,,,,,
749,brać ślub,heiraten,-,,,,,
753,powtarzać,wiederholen,-,,,,,
757,dorastać,aufwachsen,-,,,,,
761,ratować,retten,-,,,,,
765,chronić,schützen,-,,,,,
769,należeć,gehören,-,,,,,
773,zastanawiać się (na n),nachdenken,-,,,,,
777,doświadczać,erleben,-,,,,,
781,akceptować,akzeptieren,-,,,,,
785,ograniczać,begrenzen,-,,,,,
789,czerpać przyjemność,genießen,-,,,,,
793,uśmiechać się,lächeln,-,,,,,
797,kopiować,kopieren,-,,,,,
801,nazywać,nennen,-,,,,,
805,pisać,schreiben,-,,,,,
809,kraść (na s),stehlen,-,,,,,
